ID,partita,punti,stagione,campo,campionato
5887,Gardolo - Us Brunico,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""22"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5888,Maia Merano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5771;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Palestra """"Segantini""""",Under 13
5889,Gardolo - Pall. Villazzano A,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5772;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5890,Olimpia Basket Bolzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5773;a:2:{s:6:""points"";s:2:""33"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Under 13
5891,Gardolo - Paganella Rotaliana,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5774;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5892,Gardolo - Europa Bolzano,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""29"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5893,Basket Pergine - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Palestra ''Garbari'',Under 13
5894,Us Brunico - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""19"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Handelsoberschuele,Under 13
5895,Gardolo - Maia Merano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""88"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5771;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5896,Pall. Villazzano A - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5772;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALESTRA S.M. PASCOLI,Under 13
5897,Gardolo - Olimpia Basket Bolzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5773;a:2:{s:6:""points"";s:2:""42"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5898,Gardolo - Basket Pergine,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
